Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
28/4/2022,19.75,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.59016934985415,0.2492565326113933
29/4/2022,18.52,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0124196675539999,0.9831434333333332
2/5/2022,19.5,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.27556505595186,0.5679961676999999
3/5/2022,19.57,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6651612069333334,0.66174567344
4/5/2022,20.3,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3804263992227141,0.4974383097336364
5/5/2022,18.81,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.62072499,0.58457871
6/5/2022,18.64,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4093395994285714,0.97697698
9/5/2022,16.92,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1537299974822066,0.730808688888889
10/5/2022,17.57,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1980711648281111,0.7672095166666666
11/5/2022,16.6,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.2223444233333333,0.4421577495208833
12/5/2022,16.15,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3571247444684959,0.8693285339999999
13/5/2022,17.68,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7977448984000001,0.991329612
16/5/2022,17.24,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7825939575,0.99994344
17/5/2022,18.15,Buy,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6685924127333333,0.322073119875
18/5/2022,16.91,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Hold,Hold,Hold,0.22810308237,0.9977475133333334
19/5/2022,17.1,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,0.104956325,0.8944905432707525
20/5/2022,16.67,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3364253533333333,0.6884466634909091
23/5/2022,16.87,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2825142954307548,0.79112659241
24/5/2022,16.13,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4995902716666666,0.4496222400634238
