Date,Close,"Combi1:
Crossover (Price & EMA 20) + SMA Crossover (12 & 20)","Combi2:
Crossover (Price & EMA 12) + SMA Crossover (12 & 20)","Combi3:
Crossover (Price & EMA 20) + EMA Crossover (12 &20)","Combi4:
Overbought/ Overbought + SMA Crossover (8 & 12)","Combi5:
Crossover (Price & EMA 20) + Crossover (Price & EMA 50)","Combi6: 
Crossover (Price & EMA 12) + EMA Crossover (12 &20)","Combi7:
Crossover (Price & EMA 12) + Crossover (Price & EMA 20)","Combi8:
Crossover (Price & EMA 12) + SMA Crossover (8 & 12)","Combi9:
Crossover (Price & EMA 20) + SMA Crossover (8 & 12)","Combi10:
Crossover (Price & EMA 12) +Crossover (Price & EMA 50)",News Sentiment Score,Social Sentiment Score
18/2/2022,285.6600037,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1680666222222222,0.6373072765026925
22/2/2022,273.8433228,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6457787378571428,0.6347773459079561
23/2/2022,254.6799927,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2470853998549999,0.6207646403305277
24/2/2022,266.9233398,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.51806480423635,0.6769406446879034
25/2/2022,269.956665,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7039277805801691,0.7203454232989833
28/2/2022,290.1433411,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5840850804375001,0.7278958762838097
1/3/2022,288.1233215,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Hold,0.601349024534,0.7582515601911389
2/3/2022,293.2966614,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2711778133,0.7340511238890135
3/3/2022,279.7633362,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Hold,0.5565220934545455,0.7442221143133891
4/3/2022,279.4299927,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Sell,Hold,0.6399230421923078,0.7539231127576209
7/3/2022,268.1933289,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6741275488445375,0.642916673243711
8/3/2022,274.7999878,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,0.5343925663112004,0.6498011922747774
9/3/2022,286.3233337,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6599820866370699,0.6148741028617628
10/3/2022,279.4333191,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Hold,Buy,0.4870061331474125,0.5758360744989384
11/3/2022,265.1166687,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Hold,0.9928446185714286,0.6718764500792505
14/3/2022,255.456665,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4922714577777777,0.6188278008986416
15/3/2022,267.2966614,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.22265602795,0.6081549677518913
16/3/2022,280.0766602,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.69060614109965,0.7253392806132569
17/3/2022,290.5333252,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Buy,Buy,Buy,0.3763509280356545,0.7615825612147666
