Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 1 Days,Combi 2: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 2 Days,Combi 3: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 3 Days,Combi 4: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4 Days,Combi 5: Crossover (Price & EMA 20) + Crossover (Price & EMA 50),Combi 5 Days,Combi 6: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 6 Days,Combi 7: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 7 Days,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 8 Days,Combi 9: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 9 Days,Combi 10: Crossover (Price & EMA 12) +Crossover (Price & EMA 50),Combi 10 Days
23/6/2023,256.6000061,0.7404524853068181,Hold,9.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
26/6/2023,241.0500031,0.3720833062915041,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
27/6/2023,250.2100067,0.3223539050814147,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Sell,10.0,Hold,10.0,Hold,10.0
28/6/2023,256.2399902,0.4519184607159745,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Buy,10.0,Hold,10.0,Hold,10.0
29/6/2023,257.5,0.6406129541445117,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
30/6/2023,261.769989,0.5949787986383309,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
3/7/2023,279.8200073,0.2751002057619087,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
5/7/2023,282.480011,0.4775290043729324,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
6/7/2023,276.5400085,0.6002605195385695,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
7/7/2023,274.4299927,0.5008296070093735,Hold,9.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0,Hold,10.0
