Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 1 Days,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 2 Days,Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 3 Days,Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 4 Days,Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 5 Days,Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 6 Days,Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 7 Days,Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 8 Days,Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 9 Days,Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),Combi 10 Days
31/12/2020,13.02,0.648797632308904,Buy,10.0,Buy,9.0,Hold,9.0,Hold,8.0,Buy,10.0,Buy,8.0,Hold,8.0,Hold,8.0,Buy,10.0,Hold,10.0
4/1/2021,13.08,0.6724192752536471,Sell,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Sell,10.0,Hold,10.0
5/1/2021,13.37,0.6852413239743008,Buy,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
6/1/2021,12.58,0.6649435918237594,Hold,10.0,Buy,9.0,Hold,9.0,Buy,8.0,Buy,10.0,Buy,8.0,Buy,8.0,Buy,8.0,Buy,10.0,Buy,10.0
7/1/2021,13.31,0.6921080574731121,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Sell,10.0,Hold,10.0
8/1/2021,13.24,0.7045640048828098,Buy,10.0,Buy,9.0,Hold,9.0,Buy,8.0,Buy,10.0,Buy,8.0,Buy,8.0,Buy,8.0,Buy,10.0,Buy,10.0
11/1/2021,13.58,0.6847061730320048,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Buy,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Buy,10.0
12/1/2021,13.45,0.7549553090523259,Hold,10.0,Buy,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Buy,8.0,Hold,10.0,Hold,10.0
13/1/2021,13.5,0.6288076860717592,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
14/1/2021,13.16,0.6628521364247991,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
15/1/2021,12.82,0.5772811682852375,Sell,10.0,Sell,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Sell,8.0,Hold,8.0,Sell,8.0,Sell,10.0,Sell,10.0
19/1/2021,12.99,0.5906697335902029,Sell,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
20/1/2021,13.33,0.691886088969461,Buy,10.0,Sell,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Sell,8.0,Hold,10.0,Hold,10.0
21/1/2021,13.83,0.668478485891342,Hold,10.0,Buy,9.0,Hold,9.0,Hold,8.0,Buy,10.0,Buy,8.0,Hold,8.0,Buy,8.0,Buy,10.0,Buy,10.0
22/1/2021,13.68,0.6332883675478316,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
25/1/2021,13.62,0.6755651466363868,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
26/1/2021,13.4,0.6437178721625981,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Sell,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Sell,10.0
27/1/2021,12.88,0.6001195435292952,Sell,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
