Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,learning_rate,dropout_rate,lstm_units_1,lstm_units_2,batch_size,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,Model,n_estimators,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,num_leaves,min_samples_split,min_samples_leaf,max_features,criterion,C,penalty,l1_ratio,kernel
NVDA,10,0.0225,long_short,,0.0037482018686065,0.1249624424328673,211.0,34.0,17.0,0.5122950819672131,0.5872553959855548,0.5656108597285068,0.5965192465192465,25,25,0,0,0.68,2.1814120400498527,1.7845104164219323,LSTM,,,,,,,,,,,,,,,,
SPY,2,0.0025,long_short,,0.0062774397553924,0.4244363814767423,121.0,128.0,33.0,0.4969262295081967,0.5360975876133628,0.5113122171945701,0.5618949958982773,125,122,3,0,0.576,0.9228571562606944,0.1135770721746318,LSTM,,,,,,,,,,,,,,,,
SPY,3,0.0025,long_short,,0.0017177621112338,0.3446612641953124,34.0,19.0,41.0,0.6157786885245902,0.6925462706137475,0.4796380090497738,0.5441321499013807,83,20,63,0,0.4457831325301205,-1.223836907841425,-0.1504720162915475,LSTM,,,,,,,,,,,,,,,,
SPY,4,0.005,long_short,,0.0005157953648175,0.1865949540385937,230.0,121.0,49.0,0.6987704918032787,0.7838473019276451,0.5610859728506787,0.5301974448315911,62,9,53,0,0.3870967741935484,-1.481209972582765,-0.1822221481765812,LSTM,,,,,,,,,,,,,,,,
SPY,5,0.005,long_short,,0.0043704476090938,0.1913285170654836,127.0,81.0,21.0,0.5870901639344263,0.6238393408337849,0.5339366515837104,0.6170108161258604,50,0,50,0,0.36,-2.032196488499228,-0.2453700359750299,LSTM,,,,,,,,,,,,,,,,
SPY,6,0.005,long_short,,0.0003028558197672,0.4328952239812449,48.0,121.0,35.0,0.5788934426229508,0.6913214741651549,0.502262443438914,0.4932841932841933,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.2468265759436063,LSTM,,,,,,,,,,,,,,,,
SPY,7,0.0075,long_short,,0.0058839666574617,0.2576161773725929,123.0,35.0,57.0,0.5133196721311475,0.6441071428571428,0.4841628959276018,0.6133792424987702,35,35,0,0,0.6571428571428571,1.967066718524204,0.2231745247261498,LSTM,,,,,,,,,,,,,,,,
SPY,8,0.0075,long_short,,0.0040842903112782,0.2414243521690878,208.0,47.0,21.0,0.5174180327868853,0.5650273292917072,0.502262443438914,0.55641592920354,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.2476654094680745,LSTM,,,,,,,,,,,,,,,,
SPY,9,0.01,long_short,,0.0048693330502526,0.1672148505081127,200.0,58.0,16.0,0.5829918032786885,0.6295361737382403,0.5294117647058824,0.5162721893491125,27,0,27,0,0.2592592592592592,-2.0535945747133035,-0.2226319698786127,LSTM,,,,,,,,,,,,,,,,
SPY,10,0.01,long_short,,0.0006305535040199,0.1186662652854461,250.0,42.0,20.0,0.6485655737704918,0.714255715893628,0.5248868778280543,0.4506142506142506,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376,LSTM,,,,,,,,,,,,,,,,
TSLA,2,0.0025,long_short,,0.000589974179671,0.1063865008880856,84.0,43.0,49.0,0.6024590163934426,0.7307461307461307,0.497737556561086,0.4495412844036697,125,108,17,0,0.552,1.4055409046210638,1.003902762723552,LSTM,,,,,,,,,,,,,,,,
TSLA,3,0.005,long_short,,0.00413456225686,0.4323236081511444,50.0,54.0,25.0,0.5963114754098361,0.644365590946312,0.4434389140271493,0.4498525073746313,83,63,20,0,0.4939759036144578,0.8264519772532443,0.3821846641048037,LSTM,,,,,,,,,,,,,,,,
TSLA,4,0.005,long_short,,0.0078201022006335,0.1028169212425982,140.0,21.0,27.0,0.5983606557377049,0.6548196489990299,0.5203619909502263,0.5358722358722359,62,29,33,0,0.4516129032258064,0.7523036499572237,0.3348548568343201,LSTM,,,,,,,,,,,,,,,,
TSLA,5,0.01,long_short,,0.0084082358413817,0.1,45.0,79.0,16.0,0.5840163934426229,0.6456146839890887,0.5113122171945701,0.4983611930514585,50,27,23,0,0.42,-1.823617322412148,-0.7139897997893998,LSTM,,,,,,,,,,,,,,,,
TSLA,6,0.01,long_short,,0.0046959030368486,0.1829267313533341,100.0,76.0,17.0,0.6157786885245902,0.6745960710158629,0.4841628959276018,0.4757178014766202,41,37,4,0,0.4634146341463415,1.1570555902120323,0.7026232034810735,LSTM,,,,,,,,,,,,,,,,
