Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar,HParams
META,social_only,gradient_boosting,2,0.0,2024,"{""n_estimators"": ""50"", ""learning_rate"": 0.29999999999999993, ""max_depth"": ""6""}",0.5040322580645161,0.5193207240187107,123,0.5040650406504065,-1.1669351132545134,-0.6771387309054029,-0.52231163539327,-1.1940573727780883,0.516260162601626,0.4993920972644377,122,0.5081967213114754,0.4289049753653042,0.2041759624573171,-0.2742794215388621,0.9889301580788356,0.7444086082425541,
META,social_only,gradient_boosting,2,0.0,31415,"{""n_estimators"": ""50"", ""learning_rate"": 0.1776993910081514, ""max_depth"": ""6""}",0.4959677419354839,0.5180326757507965,123,0.5121951219512195,-1.1503942598039256,-0.6727655075778967,-0.4897920255165094,-1.1753579639137886,0.491869918699187,0.5009118541033435,122,0.4672131147540984,-0.0703616748156675,-0.1555340492127944,-0.2920647015499559,-0.16829994868421,-0.5325328544921452,
META,social_only,gradient_boosting,5,0.0,42,"{""n_estimators"": ""60"", ""learning_rate"": 0.05958758776628971, ""max_depth"": ""6""}",0.5306122448979592,0.5241267690454683,48,0.5833333333333334,0.7929752372924546,2.3286860885494742,-0.3165927567121606,1.2172017620189153,0.5,0.4823283373997909,49,0.4693877551020408,-1.143116227226026,-0.912032460526853,-0.4653585960340229,-1.3816316047810349,-1.9598487452462856,
META,social_only,gradient_boosting,5,0.0,7,"{""n_estimators"": ""402"", ""learning_rate"": 0.01, ""max_depth"": ""8""}",0.5591836734693878,0.5312029509183981,48,0.5833333333333334,1.0615678450127768,4.549697209978699,-0.2502887265297331,1.3775699600317766,0.4674796747967479,0.4698152666434297,49,0.4081632653061224,-1.401492072824787,-0.944266115258878,-0.4845214991523354,-1.7449152733922944,-1.94886319164549,
META,social_only,gradient_boosting,5,0.0,1337,"{""n_estimators"": ""405"", ""learning_rate"": 0.01018337202569181, ""max_depth"": ""6""}",0.5469387755102041,0.5302243300210779,48,0.625,1.6677768446857155,16.780516156564023,-0.214615857924989,2.9495090058729896,0.491869918699187,0.4893691181596376,49,0.4693877551020408,-1.2439536539729938,-0.9264570225762054,-0.4763476610484171,-1.5174593524685542,-1.9449177530065336,
META,social_only,gradient_boosting,5,0.0,2024,"{""n_estimators"": ""500"", ""learning_rate"": 0.016736605701437354, ""max_depth"": ""8""}",0.5224489795918368,0.5360584161397169,48,0.5208333333333334,0.1604938587428043,-0.0700923728301455,-0.250288726529733,0.2191207872530134,0.4593495934959349,0.4582781456953642,49,0.3673469387755102,-1.2849950042329288,-0.9314721552337936,-0.4845214991523354,-1.6821225113075222,-1.9224578411141569,
META,social_only,gradient_boosting,5,0.0,31415,"{""n_estimators"": ""356"", ""learning_rate"": 0.02791725814228395, ""max_depth"": ""8""}",0.5387755102040817,0.5335742246311352,48,0.5208333333333334,0.2846469056867215,0.1932968786000628,-0.250288726529733,0.3843681771021486,0.4674796747967479,0.4589055420006971,49,0.3877551020408163,-1.2723893768386565,-0.9299298402710316,-0.4845214991523354,-1.6583132595923875,-1.9192746697472305,
META,social_only,gradient_boosting,10,0.0025,42,"{""n_estimators"": ""82"", ""learning_rate"": 0.29999999999999993, ""max_depth"": ""8""}",0.5666666666666667,0.5598241758241759,23,0.5652173913043478,0.1484001692101864,-0.1300209287191637,-0.2860858025604135,0.220140374958583,0.4634146341463415,0.434816220394968,24,0.4166666666666667,-0.6856938307926915,-0.956426490713289,-0.453538984824875,-1.4126868394483236,-2.108807671919524,
META,social_only,gradient_boosting,10,0.0025,7,"{""n_estimators"": ""500"", ""learning_rate"": 0.01, ""max_depth"": ""10""}",0.55,0.5547692307692308,23,0.5652173913043478,0.1484001692101864,-0.1300209287191637,-0.2860858025604135,0.220140374958583,0.4715447154471545,0.4536158549441282,24,0.375,-0.797307948839171,-0.970735552504239,-0.4738686113390205,-1.6315228605271077,-2.048533136139174,
META,social_only,gradient_boosting,10,0.0025,1337,"{""n_estimators"": ""264"", ""learning_rate"": 0.1886253121208113, ""max_depth"": ""6""}",0.5541666666666667,0.5482197802197802,23,0.5217391304347826,-0.1771815499684814,-0.7619789506860098,-0.2860858025604135,-0.2757888788133061,0.4430894308943089,0.4128188909972591,24,0.375,-0.797307948839171,-0.970735552504239,-0.4738686113390205,-1.6315228605271077,-2.048533136139174,
