Stock,Ablation,Model,Horizon,Threshold,Seed,HParams,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,news_only,lstm,10,0.01,31415,"{""lr"": 0.006451739929312825, ""dropout"": 0.10636684075929766, ""u1"": 253, ""u2"": 30, ""batch_size"": 60}",0.6285714285714286,0.41705516705516704,20,0.8,1.2806301060325678,10.267106748764846,-0.10822989702745,1.6857949826040601,0.5416666666666666,0.5287921954588621,21,0.6666666666666666,1.6264346964676142,37.965451549351954,-0.039132418752789104,2.831972270864319,970.1790167684441
AAPL,social_only,lstm,2,0.0025,42,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.4954128440366973,0.5231481481481481,108,0.4444444444444444,-1.7943452429781985,-0.576367262258533,-0.35943414405682345,-2.8976888324329417,0.4861111111111111,0.5525728987993139,107,0.35514018691588783,-2.142130161947218,-0.6810424102531855,-0.4386939519673855,-3.244257731635229,-1.5524317287688918
AAPL,social_only,lstm,2,0.0025,7,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.518348623853211,0.5294612794612795,108,0.5185185185185185,0.38553257803903035,0.13960910100909873,-0.15842394126998274,0.5323604048298173,0.49537037037037035,0.5117495711835335,107,0.5607476635514018,1.107943296489829,0.6598381540488678,-0.12945260722672894,1.6782765174236451,5.09714070797507
AAPL,social_only,lstm,2,0.0025,1337,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5137614678899083,0.5224747474747474,108,0.4444444444444444,-0.273668355915363,-0.15562539554126686,-0.19627966938186933,-0.5552066939701019,0.5,0.43872212692967405,107,0.4205607476635514,-0.29851959679233103,-0.18827657481089877,-0.22439515759536052,-0.557555166204351,-0.8390402753271868
AAPL,social_only,lstm,2,0.0025,2024,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5,0.5125420875420875,108,0.5092592592592593,0.22544550992665197,0.060000543709983534,-0.2742220730127418,0.3587466868106146,0.5046296296296297,0.5120068610634648,107,0.514018691588785,1.6967836194621222,1.2193266588964753,-0.10330383907562175,3.119494690905039,11.803304405791625
AAPL,social_only,lstm,2,0.0025,31415,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5045871559633027,0.5492003367003367,108,0.5092592592592593,0.5213369665135325,0.21199007030252526,-0.2129984174904989,0.7447299311895417,0.5046296296296297,0.554631217838765,107,0.5327102803738317,0.8657998673356119,0.4701110670155655,-0.157612226465619,1.3762626598341874,2.982706846782054
AAPL,social_only,lstm,5,0.005,42,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5348837209302325,0.5956521739130435,42,0.6428571428571429,1.2403476364839245,2.3762944266887027,-0.15548971187711577,1.5939533869038567,0.5370370370370371,0.4692241379310344,43,0.5348837209302325,1.2865609788575065,3.9862861535214877,-0.10310124679588935,2.183584504185326,38.66380162611594
AAPL,social_only,lstm,5,0.005,7,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5302325581395348,0.5038260869565218,42,0.6666666666666666,2.252284832283932,7.929604954755275,-0.07839728814397014,4.429143578891887,0.5092592592592593,0.5914655172413794,43,0.4418604651162791,-0.127180335915443,-0.29292826199561184,-0.17669502053577224,-0.22588640916833727,-1.6578184326156942
AAPL,social_only,lstm,5,0.005,1337,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5116279069767442,0.5174782608695653,42,0.6190476190476191,1.179857390818608,2.1759295682402673,-0.1336777844514278,1.7205861427274616,0.4444444444444444,0.41017241379310343,43,0.4418604651162791,-0.053063025596063,-0.2148778491991863,-0.19873170754265396,-0.09360902417586546,-1.0812459262599898
AAPL,social_only,lstm,5,0.005,2024,"{""lr"": 0.004417080837631972, ""dropout"": 0.3921568099903333, ""u1"": 241, ""u2"": 19, ""batch_size"": 64}",0.5255813953488372,0.5572173913043479,42,0.5,-0.08434734609730743,-0.17417432382388642,-0.16128262494033066,-0.11857259975951816,0.42592592592592593,0.34810344827586215,43,0.5116279069767442,1.228161982129537,3.6161148008941,-0.11909028975200572,2.1862708442369945,30.364480667771634
